"chromosome" "gene.start" "gene.end"
"3314" "chr1" 193048352 193049565
"44663" "chr7" 4099784 4101474
"33158" "chr4" 43718499 43719438
"55363" "chr9" 108462831 108467897
"50976" "chr8" 106878415 106919596
"3362" "chr1" 193361243 193365441
"30646" "chr2" 181255209 181286954
"46791" "chr7" 86805081 86843031
"34677" "chr4" 125735808 125766578
"10563" "chr12" 16543441 16587710
"15643" "chr15" 61938702 62073852
"32300" "chr3" 116028956 116126950
"47553" "chr7" 112799340 112842185
"17003" "chr15" 85970524 85970948
"12568" "chr13" 14143195 14155668
"2766" "chr1" 171907776 172040690
"19834" "chr17" 5417322 5418767
"30352" "chr2" 173408846 173411751
"3129" "chr1" 183834575 183950111
"52260" "chr8" 124320229 124353469
"2538" "chr1" 157923095 158135156
"28792" "chr2" 148519722 148521171
"25911" "chr19" 47165255 47205635
"36651" "chr4" 151363741 151366701
"30835" "chr3" 32233715 32264587
"12895" "chr13" 47081815 47104082
"34254" "chr4" 116768960 116787436
"25501" "chr19" 41667852 41668600
"20737" "chr17" 27822198 27848051
"54258" "chr9" 57598517 57613667
"49751" "chr8" 36438794 36451191
"44295" "chr6" 124959255 124987887
"45640" "chr7" 30169276 30290471
"6800" "chr11" 58791617 58804960
"16959" "chr15" 85724636 85727823
"14950" "chr14" 79612161 79647103
"24604" "chr19" 5689130 5702864
"49836" "chr8" 42276787 42300478
"48872" "chr7" 149561820 149573775
"30038" "chr2" 167378813 167433345
"40352" "chr5" 125497524 125505933
"54042" "chr9" 46091094 46106866
"34546" "chr4" 122720955 122732177
"45424" "chr7" 28826720 28827745
"36604" "chr4" 150433634 150460319
"12295" "chr12" 113041403 113050430
"19403" "chr16" 90831357 90904940
"19313" "chr16" 89787356 89818597
"7170" "chr11" 62945011 62973048
"26757" "chr2" 27044901 27088217
"36500" "chr4" 149270392 149283840
"24123" "chr18" 77303946 77392539
"48919" "chr7" 150293158 150612947
"6913" "chr11" 59918514 60012697
"22339" "chr17" 56915467 56970386
"52411" "chr8" 124880866 124884646
"37772" "chr5" 36141101 36227619
"22756" "chr17" 81844208 82048978
"4769" "chr10" 79957650 79980005
"2047" "chr1" 136090024 136097809
"4826" "chr10" 80128073 80139038
"4134" "chr10" 62409800 62436925
"28281" "chr2" 118727350 118750260
"7975" "chr11" 79420580 79436665
"49689" "chr8" 34710092 34730276
"15722" "chr15" 72342548 72376709
"24308" "chr19" 3584876 3686554
"18493" "chr16" 22892114 22899511
"53164" "chr8" 129372919 129375733
"37721" "chr5" 35923875 35931412
"44951" "chr7" 20011423 20013650
"34533" "chr4" 120640929 120689852
"36835" "chr4" 154624088 154630792
"15298" "chr15" 25773018 25903442
"32338" "chr3" 121129458 121161123
"8887" "chr11" 100642044 100683831
"26598" "chr2" 25418634 25426836
"46834" "chr7" 87239733 87243219
"790" "chr1" 74455979 74482088
"12084" "chr12" 110132526 110266658
"19906" "chr17" 7432261 7463729
"3598" "chr10" 19890585 19892483
"21276" "chr17" 31981194 31992737
"45900" "chr7" 39005691 39012978
"40062" "chr5" 123567342 123582638
"24767" "chr19" 6497834 6544169
"39255" "chr5" 115236693 115255829
"2857" "chr1" 173509193 173515447
"20019" "chr17" 13093028 13102751
"6069" "chr11" 5911667 5965751
"24864" "chr19" 7272695 7280774
"26736" "chr2" 26879587 26883518
"43639" "chr6" 91711502 91732902
"36145" "chr4" 141317912 141346559
"45022" "chr7" 20437445 20446648
"49391" "chr8" 13339664 13377702
"8738" "chr11" 98562626 98564943
"8917" "chr11" 100818050 100831931
"42940" "chr6" 72649207 72655084
"15606" "chr15" 59163551 59184084
"21333" "chr17" 32350471 32421054
"13280" "chr13" 65295293 65307276
"47290" "chr7" 106035261 106165184
"48034" "chr7" 130267398 130338810
"46313" "chr7" 53450726 53493860
"39175" "chr5" 114881042 114894036
"49448" "chr8" 14929956 14932420
"43470" "chr6" 88855942 88862234
"33815" "chr4" 98062516 98386294
"9355" "chr11" 107799561 108205242
"4068" "chr10" 61316104 61341140
"47027" "chr7" 88716491 88736988
"15381" "chr15" 36079814 36094639
"32179" "chr3" 107356615 107357991
"37338" "chr5" 30434152 30444915
"39968" "chr5" 122841936 122856187
"23391" "chr18" 35062438 35091657
"53357" "chr9" 20731550 20764332
"35376" "chr4" 134024325 134029754
"1448" "chr1" 107926974 107930651
"25169" "chr19" 23992042 23995904
"27352" "chr2" 32992492 33226998
"34367" "chr4" 118032615 118035349
"20416" "chr17" 25749240 25784541
"19974" "chr17" 12420486 12511526
"27670" "chr2" 60436348 60514123
"32989" "chr4" 40751634 40801031
"24799" "chr19" 7017086 7026383
"24929" "chr19" 8925257 8928399
"16690" "chr15" 83357291 83375065
"532" "chr1" 59220258 59243370
"53339" "chr9" 20673139 20678740
"40463" "chr5" 125868408 125870440
"35478" "chr4" 134708410 134727173
"10833" "chr12" 41172639 41573075
"15475" "chr15" 39029877 39513486
"6633" "chr11" 53915021 53945150
"4732" "chr10" 79784046 79785872
"7389" "chr11" 69040132 69050524
"28163" "chr2" 104670897 104689617
"1003" "chr1" 82876582 82892850
"27010" "chr2" 30568669 30572563
"8853" "chr11" 100290665 100302334
"16849" "chr15" 84979683 84986562
"20412" "chr17" 25749240 25784541
"7196" "chr11" 65091155 65101335
"39786" "chr5" 121798981 121818575
"26711" "chr2" 26442155 26448202
"30310" "chr2" 172847402 172860232
"31907" "chr3" 96977503 96980491
"55297" "chr9" 107583832 107607922
"23394" "chr18" 35142578 35269099
"16071" "chr15" 76875158 76887537
"38800" "chr5" 110790770 110816146
"27875" "chr2" 79475696 79513121
"55123" "chr9" 104102766 104165262
"43618" "chr6" 91466028 91472614
"36182" "chr4" 141574006 141584749
"33086" "chr4" 42962738 42971604
"36115" "chr4" 141102081 141103807
"755" "chr1" 74036295 74045042
"50326" "chr8" 74084453 74090500
"16565" "chr15" 82052173 82054766
"51701" "chr8" 122121770 122129140
"39020" "chr5" 114268544 114280442
"39561" "chr5" 119010727 119215446
"13951" "chr14" 25959280 25962727
"49052" "chr7" 151764227 151768341
"14237" "chr14" 35224253 35315732
"37186" "chr5" 24256820 24263661
"22652" "chr17" 79152245 79168358
"32448" "chr3" 123149830 123209514
"30140" "chr2" 167757826 167804885
"834" "chr1" 74991891 74998225
"50843" "chr8" 96910399 96919258
"37866" "chr5" 36827236 36830820
"16646" "chr15" 82983931 83002638
"42872" "chr6" 71911517 71934929
"12468" "chr12" 114424113 114427733
"14397" "chr14" 55134942 55136244
"31047" "chr3" 52543645 52580576
"38829" "chr5" 111093391 111199736
"55296" "chr9" 107583832 107607922
"14994" "chr14" 102239864 102333290
"25491" "chr19" 41401646 41402453
"35033" "chr4" 129986021 129992707
"7208" "chr11" 65644825 65982053
"17653" "chr15" 102065370 102076783
"41478" "chr5" 142877450 142937969
"48228" "chr7" 134119862 134124015
"20423" "chr17" 25835049 25835794
"53670" "chr9" 28984045 29770714
"19497" "chr16" 91782405 91803376
"5757" "chr10" 126975213 127058204
"35342" "chr4" 133683320 133684668
"30450" "chr2" 179646850 179711351
"5089" "chr10" 81096443 81110354
"20413" "chr17" 25749240 25784541
"16556" "chr15" 81977698 82035390
"25503" "chr19" 41667852 41668600
"15035" "chr14" 118881913 119105427
"13738" "chr14" 12386066 13073830
"39926" "chr5" 122608287 122625278
"37822" "chr5" 36546669 36549216
"50870" "chr8" 97198794 97220142
"52577" "chr8" 125413538 125427625
"28566" "chr2" 129949020 129979961
"32045" "chr3" 102824586 102862102
"33792" "chr4" 96294122 96330810
"7551" "chr11" 70376382 70427984
"32619" "chr3" 145587341 145597247
"38821" "chr5" 111077437 111082401
"37486" "chr5" 31957740 31966757
"20481" "chr17" 26140595 26158805
"16272" "chr15" 78955481 78967326
"51800" "chr8" 122516375 122575696
"54532" "chr9" 65368912 65377613
"15028" "chr14" 118635453 118637981
"19136" "chr16" 45959373 45964268
"18802" "chr16" 32843083 32877852
"40898" "chr5" 136559785 136587730
"2148" "chr1" 137005090 137026327
"7180" "chr11" 64792598 64815571
"15188" "chr15" 7761010 7787575
