"chromosome" "gene.start" "gene.end"
"3587" "chr11" 62462165 62479861
"320" "chr1" 52714300 52766599
"1070" "chr1" 121426056 121432742
"6769" "chr15" 58774801 58872152
"1353" "chr1" 133558452 133562023
"13849" "chr5" 28643728 28745782
"20250" "chr9" 77278895 77391866
"7392" "chr16" 4886251 4938296
"9449" "chr18" 55054873 55058303
"2270" "chr1" 181476659 181557604
"16688" "chr6" 134346346 134388742
"11037" "chr2" 139503913 139584306
"9089" "chr17" 80746879 80769744
"1072" "chr1" 121491407 121545194
"7965" "chr16" 43762354 43822952
"14534" "chr5" 91946725 92053022
"9262" "chr18" 20716616 20761322
"15777" "chr6" 38413553 38434839
"5995" "chr14" 22319075 22491355
"18903" "chr8" 108615931 108654437
"19902" "chr9" 30234913 30274311
"5349" "chr12" 102886811 102949783
"5983" "chr14" 21895373 22267768
"14863" "chr5" 120284671 120334481
"15851" "chr6" 43253672 43259553
"8230" "chr16" 91782405 91803376
"8081" "chr16" 57177363 57182666
"4052" "chr11" 94189314 94203161
"2774" "chr10" 76753477 76881018
"5857" "chr13" 113078725 113146389
"9918" "chr19" 30642040 31738860
"4826" "chr12" 40732033 40763963
"19296" "chr8" 125652477 125655792
"19001" "chr8" 114060741 114149617
"17477" "chr7" 106959948 106976927
"20382" "chr9" 105303117 105307791
"14616" "chr5" 97222433 97274987
"5398" "chr12" 109544479 109566510
"20329" "chr9" 96723761 96789841
"15737" "chr6" 36664928 36665534
"12705" "chr4" 53838933 53873461
"10348" "chr2" 17314532 17384416
"8419" "chr17" 23940153 23961710
"3146" "chr11" 5179327 5281743
"3758" "chr11" 68799201 68804108
"10378" "chr2" 25793465 25838802
"19131" "chr8" 122147753 122159580
"4605" "chr12" 13493927 13590612
"8777" "chr17" 45528838 45570656
"20160" "chr9" 65524396 65538104
"9949" "chr19" 34566805 34601912
"9730" "chr19" 9016409 9026790
"11027" "chr2" 135567565 135838804
"10547" "chr2" 37871355 37873689
"854" "chr1" 91577659 91580469
"12723" "chr4" 55362935 55404084
"8304" "chr17" 5040579 5127640
"5019" "chr12" 75002361 75047878
"2581" "chr10" 41258654 41307251
"8517" "chr17" 26852594 26909832
"15530" "chr6" 28430347 28838832
"5629" "chr13" 45017448 45078366
"6865" "chr15" 63920100 64214481
"20269" "chr9" 82759765 82869096
"18201" "chr7" 148748136 148818910
"17849" "chr7" 125387420 125389065
"5234" "chr12" 87397693 87419484
"12091" "chr3" 104154557 104170536
"8275" "chr17" 3115105 3198859
"6012" "chr14" 22320106 22483970
"12732" "chr4" 55540140 55545338
"7515" "chr16" 11447400 11661648
"10990" "chr2" 126378759 126413979
"16857" "chr7" 26682682 26711643
"12803" "chr4" 57754966 57909856
"687" "chr1" 77363759 77511663
"7393" "chr16" 4886251 4938296
"18155" "chr7" 146434380 146453152
"11212" "chr2" 154412779 154429409
"5600" "chr13" 41096391 41108380
"6942" "chr15" 67915328 68090409
"8538" "chr17" 27372019 27379601
"2033" "chr1" 167225896 167251982
"6932" "chr15" 67915328 68090409
"3155" "chr11" 5796639 5798785
"5547" "chr13" 31898514 31902504
"3751" "chr11" 68627863 68630126
"16273" "chr6" 90610374 90639938
"1082" "chr1" 121491407 121545513
"1834" "chr1" 154802230 154966391
"10143" "chr19" 46560802 46561184
"19778" "chr9" 20731550 20764332
"4767" "chr12" 33505339 33536473
"240" "chr1" 43502595 43627357
"11298" "chr2" 158235588 158324989
"1555" "chr1" 136675686 136700428
"16382" "chr6" 93625448 94233898
"9258" "chr18" 16747517 16967755
"12816" "chr4" 58873667 58925597
"6600" "chr15" 12387552 12669679
"5634" "chr13" 45616220 45616588
"19072" "chr8" 120807654 121847348
"2173" "chr1" 173259641 173271746
"2515" "chr10" 19311763 19330031
"7615" "chr16" 19946589 19983050
"15517" "chr6" 24547770 24555414
"12671" "chr4" 49072333 49353133
"17872" "chr7" 127164509 127176170
"2310" "chr1" 182781281 182798245
"8148" "chr16" 85794072 85803344
"5945" "chr14" 21554096 21613310
"3445" "chr11" 59021862 59024236
"7076" "chr15" 77199923 77201440
"523" "chr1" 64579377 64651122
"14664" "chr5" 102264603 102280532
"7334" "chr15" 102109886 102112175
"11993" "chr3" 94968260 94977238
"14939" "chr5" 123939333 123958213
"8635" "chr17" 31262259 31266556
"3760" "chr11" 68810456 68821953
"3427" "chr11" 57642214 57645649
"15285" "chr5" 147828678 147888105
"18333" "chr8" 22165223 22166189
"11868" "chr3" 83891855 83959617
"6014" "chr14" 22320106 22483970
"5190" "chr12" 85792457 85872483
"15615" "chr6" 31348827 31459477
"6711" "chr15" 42464853 42508341
"2883" "chr10" 87936277 87966610
"13835" "chr5" 28397906 28405201
"936" "chr1" 95240221 95264195
"13035" "chr4" 101927543 102279867
"17434" "chr7" 105851872 105866571
"17804" "chr7" 122117506 122127481
"5905" "chr14" 14785924 14793739
"3389" "chr11" 50416738 50611847
"14428" "chr5" 74591350 74595502
"3753" "chr11" 68634948 68666555
"589" "chr1" 73071184 73072075
"962" "chr1" 99830047 99873836
"15010" "chr5" 130663049 130690207
"12743" "chr4" 55576136 55612168
"10273" "chr19" 57492782 57497984
"20198" "chr9" 71063655 71144050
"8001" "chr16" 46395117 46497077
"14477" "chr5" 77433079 77438502
"15624" "chr6" 32461147 32465576
"16015" "chr6" 71552736 71571668
"4081" "chr11" 96814651 96839002
"14765" "chr5" 111308843 111343335
"9047" "chr17" 75404868 75791109
"14623" "chr5" 98313706 98459981
"10769" "chr2" 75817162 75820024
"5395" "chr12" 109344649 109417473
"590" "chr1" 73071184 73072075
"10172" "chr19" 47720851 47766584
"16230" "chr6" 88563744 88577439
"9752" "chr19" 10300507 10315238
"5688" "chr13" 59871326 59875041
"4720" "chr12" 32171765 32184405
"4307" "chr12" 3803311 3806221
"14325" "chr5" 65839993 65884074
"20206" "chr9" 71693559 71717586
"2916" "chr10" 93103945 93208631
"15029" "chr5" 132463879 132467955
"20473" "chr9" 116852240 117160693
"479" "chr1" 62749890 62865266
"9385" "chr18" 44559277 44578148
"7504" "chr16" 11072853 11073029
"20284" "chr9" 87599033 87626095
"7291" "chr15" 99223416 99240471
"20519" "chr9" 119923382 119928937
"9135" "chr17" 84590808 84672239
"18501" "chr8" 41947720 42007424
"16383" "chr6" 93625448 94233898
"10173" "chr19" 47806245 47810078
"13181" "chr4" 115410677 115449932
"8146" "chr16" 84954687 85056771
"6013" "chr14" 22320106 22483970
"15536" "chr6" 28430347 28838832
"19316" "chr8" 125897652 125928073
"8057" "chr16" 55843317 55895398
"11710" "chr3" 52320885 52354141
"7267" "chr15" 98816395 98819712
"4658" "chr12" 25778663 25780933
"13944" "chr5" 31871967 31873770
"13618" "chr5" 4803732 5266032
"3240" "chr11" 20531979 20553026
"12728" "chr4" 55362935 55404084
"2318" "chr1" 182919686 182947626
"3649" "chr11" 64990071 64995659
"6470" "chr14" 78969415 79029097
"15718" "chr6" 36159619 36337956
"3360" "chr11" 45695898 45724125
"17459" "chr7" 106415956 106485647
"16045" "chr6" 72297336 72300611
"16761" "chr6" 146898850 146902935
"17663" "chr7" 117265572 117286813
"19783" "chr9" 21069742 21078812
"1325" "chr1" 133191564 133229647
"11272" "chr2" 156753082 156817761
"15592" "chr6" 30698410 30846760
"16357" "chr6" 92876224 92893472
"13889" "chr5" 30385366 30400121
"1261" "chr1" 129999882 130134312
"5931" "chr14" 21183788 21198098
"12930" "chr4" 85987933 86073657
"19010" "chr8" 114234374 114267709
"11735" "chr3" 54916087 54939878
"12187" "chr3" 115826351 115832606
"14930" "chr5" 123337855 123439101
"20211" "chr9" 72308912 72339763
"17226" "chr7" 82892493 82894353
"17639" "chr7" 116942162 116984441
"5654" "chr13" 48897118 48927494
"6723" "chr15" 51618108 51697007
"10680" "chr2" 68973903 69027383
"9882" "chr19" 24550268 24551964
"10601" "chr2" 58419793 58645381
"10583" "chr2" 51779976 51790407
"2887" "chr10" 88209351 88237716
"8454" "chr17" 24859011 24861333
"13591" "chr5" 3928185 4080204
